"Date","Coal_percentage","Cogeneration_percentage","Combined_Cycle_percentage","Gas_percentage","Hydro_percentage","Hydroeolian_percentage","Non_Renewable_Waste_percentage","Nuclear_percentage","Other_Renewables_percentage","Solar_photovoltaic_percentage","Pumped_storage_percentage","Renewable_Waste_percentage","Thermal_Solar_percentage","Wind_percentage"
"2019-01-01 00:00:00",0.0844516,0.118402,0.186023,0.0277868,0.0975884,0.0000298094,0.0106847,0.263518,0.015318,0.0345828,0.00149971,0.00483408,0.0135464,0.141735
"2019-01-02 00:00:00",0.0911329,0.114155,0.141238,0.0234304,0.0857094,0.0000188507,0.00866036,0.202665,0.0118028,0.0263155,0.00719645,0.00367408,0.0106168,0.273384
"2019-01-03 00:00:00",0.113476,0.12143,0.198107,0.0251514,0.114448,0.00000826685,0.00952234,0.203115,0.0127102,0.0231896,0.0132856,0.00359315,0.00885334,0.153111
"2019-01-04 00:00:00",0.123276,0.118602,0.238725,0.0245847,0.123338,0.00000614325,0.0090967,0.196314,0.0123397,0.0238974,0.0142486,0.00344446,0.00799019,0.104137
"2019-01-05 00:00:00",0.127756,0.126337,0.173307,0.0249769,0.0866,0.0000210984,0.00986118,0.222075,0.0138555,0.0287648,0.000377798,0.00394392,0.0106083,0.171516
"2019-01-06 00:00:00",0.103224,0.126051,0.108029,0.0228687,0.0635487,0.0000344146,0.00983996,0.256213,0.0141911,0.0301897,0.00227759,0.00369634,0.0112798,0.248556
"2019-01-07 00:00:00",0.129995,0.113345,0.155752,0.0197263,0.0864085,0.0000274957,0.00862644,0.221043,0.0121899,0.0252945,0.00355856,0.00302703,0.0100971,0.210909
"2019-01-08 00:00:00",0.153267,0.110115,0.159564,0.0195836,0.0828159,0.0000112628,0.00770614,0.207568,0.0110383,0.0231877,0.00991903,0.0027527,0.00981961,0.202652
"2019-01-09 00:00:00",0.153127,0.105761,0.109873,0.0194742,0.0573119,0.00000657508,0.00752486,0.200757,0.0119179,0.0219366,0.00351629,0.00272198,0.00923952,0.296831
"2019-01-10 00:00:00",0.125358,0.104237,0.126553,0.0185881,0.0712074,0.0000268285,0.00777252,0.195075,0.0119354,0.0228261,0.00712177,0.00289937,0.00932686,0.297073
"2019-01-11 00:00:00",0.115837,0.106517,0.164754,0.0195892,0.0744305,0.00000941149,0.00798172,0.197105,0.0122438,0.0233293,0.00569873,0.00295195,0.00989388,0.25966
"2019-01-12 00:00:00",0.118813,0.117837,0.126103,0.0219493,0.0490249,0.0000283969,0.00913104,0.229477,0.0143368,0.0261053,0.00476355,0.00313373,0.0112141,0.268082
"2019-01-13 00:00:00",0.123436,0.117902,0.112849,0.0209913,0.0585618,0.0000330611,0.00890066,0.23516,0.0134581,0.0267138,0.00919494,0.00277093,0.0111749,0.258854
"2019-01-14 00:00:00",0.152747,0.104866,0.180234,0.0199423,0.0640756,0.0000245167,0.00761562,0.203462,0.0117377,0.0233838,0.00151114,0.00236778,0.00941039,0.218623
"2019-01-15 00:00:00",0.179244,0.108766,0.253194,0.0195711,0.100584,0.0000215631,0.00777907,0.211125,0.013066,0.0218901,0.00622107,0.00244684,0.00484924,0.0712422
"2019-01-16 00:00:00",0.18352,0.108734,0.24796,0.0200904,0.101754,0.0000594888,0.00778292,0.209269,0.0126389,0.015492,0.00364499,0.00238509,0.00257757,0.084092
"2019-01-17 00:00:00",0.189907,0.111798,0.21742,0.0205826,0.0925752,0.000077128,0.00816557,0.21639,0.0128508,0.0123076,0.00519826,0.00252499,0.00081938,0.109382
"2019-01-18 00:00:00",0.18486,0.107669,0.225326,0.0194586,0.122128,0.000100284,0.0077186,0.199439,0.011931,0.0145143,0.00657818,0.00246605,0.00178933,0.096022
"2019-01-19 00:00:00",0.196602,0.116136,0.141792,0.0216079,0.0944055,0.000100276,0.00871424,0.197481,0.0126735,0.0136261,0.000240263,0.00284128,0.000641054,0.19314
"2019-01-20 00:00:00",0.181353,0.113203,0.085609,0.0212826,0.0658475,0.0000955583,0.00873501,0.199075,0.0121511,0.0175346,0.00188415,0.00287586,0.0047269,0.285627
"2019-01-21 00:00:00",0.171285,0.101993,0.169954,0.0184676,0.107781,0.0000884543,0.00796094,0.170448,0.0109776,0.0225568,0.0108703,0.00255495,0.00830799,0.196754
"2019-01-22 00:00:00",0.163974,0.0995371,0.149583,0.0176525,0.0865893,0.0000791005,0.00834713,0.164267,0.0108601,0.0109709,0.0010442,0.002929,0.000754373,0.283412
"2019-01-23 00:00:00",0.131516,0.0967414,0.0564002,0.0172637,0.0712501,0.0000746053,0.00766804,0.16919,0.0100569,0.0127075,0.00517161,0.00282745,0.00224387,0.416889
"2019-01-24 00:00:00",0.136447,0.096383,0.110287,0.018434,0.0787337,0.000044455,0.00768742,0.182612,0.0111409,0.014959,0.00684173,0.00285252,0.00476244,0.328814
"2019-01-25 00:00:00",0.150119,0.0986862,0.120612,0.0209554,0.0862781,0.0000163892,0.00802653,0.191905,0.0116186,0.0232188,0.00412328,0.00296121,0.0104201,0.27106
"2019-01-26 00:00:00",0.162673,0.12123,0.0981236,0.0247007,0.0981729,0.000010084,0.0101237,0.243603,0.0146425,0.0314922,0.00976656,0.00376788,0.0147506,0.166943
"2019-01-27 00:00:00",0.0505231,0.106862,0.0375891,0.020875,0.074289,0.0000389516,0.00954494,0.232633,0.0139196,0.0252219,0.0169109,0.00360964,0.0080846,0.399898
"2019-01-28 00:00:00",0.0794505,0.101172,0.064218,0.0189263,0.0908455,0.0000574697,0.00838635,0.202808,0.0124786,0.0218052,0.0152026,0.00294362,0.0068185,0.374887
"2019-01-29 00:00:00",0.0877218,0.100523,0.111199,0.0187627,0.0911535,0.0000881865,0.00831037,0.197552,0.0123692,0.0104071,0.00498209,0.00289971,0.00110084,0.35293
"2019-01-30 00:00:00",0.0941013,0.102255,0.112487,0.0190504,0.0998527,0.0000818709,0.00796699,0.198673,0.0123395,0.0162174,0.0105669,0.00288276,0.000689418,0.322836
"2019-01-31 00:00:00",0.0730101,0.099047,0.0525675,0.0208034,0.104084,0.0000550205,0.00723016,0.195131,0.0121958,0.00920275,0.00712233,0.00255753,0.000296353,0.416698
