"Date","CO2_type_1","CO2_type_2","Demand_value","Status"
"2020-03-31 00:00:00","171084.375","483509.6875",604859,2
"2020-04-01 00:00:00","181530.828125","405307.84375",598365,2
"2020-04-02 00:00:00","179220.015625","430277.78125",597333,2
"2020-04-03 00:00:00","184806.375","444160.125",583171,2
"2020-04-04 00:00:00","170209.484375","446138.25",541558,2
"2020-04-05 00:00:00","167229.484375","433590.28125",517700,2
"2020-04-06 00:00:00","187742.5","364127.28125",567321,2
"2020-04-07 00:00:00","181891.3125","360822.625",566454,2
"2020-04-08 00:00:00","178663.28125","356080.53125",554076,2
"2020-04-09 00:00:00","182624.375","345941.03125",529108,2
"2020-04-10 00:00:00","189803.453125","342544.03125",509729,2
"2020-04-11 00:00:00","171364.25","341670.03125",517352,2
"2020-04-12 00:00:00","169304.5625","372362.71875",499752,2
"2020-04-13 00:00:00","173051.890625","354179.75",536625,2
"2020-04-14 00:00:00","158021.421875","397443.78125",582375,2
"2020-04-15 00:00:00","157362.5","463374.46875",601814,2
"2020-04-16 00:00:00","138492.203125","492878.8125",601730,2
"2020-04-17 00:00:00","136366.953125","457263",596044,2
"2020-04-18 00:00:00","154537.125","381232.71875",550200,2
"2020-04-19 00:00:00","152507.375","382035.71875",517179,2
"2020-04-20 00:00:00","138837.5","450139.6875",582802,2
"2020-04-21 00:00:00","139026.640625","494077.5",607392,2
"2020-04-22 00:00:00","144628.140625","483819.84375",606143,2
"2020-04-23 00:00:00","148511.125","438434.71875",597168,2
"2020-04-24 00:00:00","150911.15625","444459.4375",592162,2
"2020-04-25 00:00:00","161350.796875","357166.1875",553588,2
"2020-04-26 00:00:00","157092.0625","377582.21875",519878,2
"2020-04-27 00:00:00","156476.296875","440003.46875",588388,2
"2020-04-28 00:00:00","145612.546875","495403.1875",599415,2
"2020-04-29 00:00:00","127834.0078125","546484.375",597619,2
"2020-04-30 00:00:00","117450.34375","568606.3125",590233,2
"2020-05-01 00:00:00","122628.3515625","529347.5",523008,2
"2020-05-02 00:00:00","147112.703125","452451.15625",526920,2
"2020-05-03 00:00:00","157967.203125","350207.46875",507065,2
"2020-05-04 00:00:00","147020.984375","497472.375",583062,2
"2020-05-05 00:00:00","146840.921875","439057.84375",605000,2
"2020-05-06 00:00:00","158825.59375","398619.59375",608228,2
"2020-05-07 00:00:00","153589.625","451353.5",603849,2
"2020-05-08 00:00:00","151276.578125","424148.4375",596940,2
"2020-05-09 00:00:00","177394.28125","375521.34375",546886,2
"2020-05-10 00:00:00","154796.875","404125.65625",513241,2
"2020-05-11 00:00:00","147480.5","451022.5",590740,2
"2020-05-12 00:00:00","175886","372166.53125",616248,2
"2020-05-13 00:00:00","175093.625","370878.3125",615176,2
"2020-05-14 00:00:00","156542.859375","403823.75",618387,2
"2020-05-15 00:00:00","146458","444578",606696,2
"2020-05-16 00:00:00","149683.21875","457594.84375",553431,2
"2020-05-17 00:00:00","153449.09375","390206.75",516969,2
"2020-05-18 00:00:00","173472.34375","396109.03125",594321,2
"2020-05-19 00:00:00","188064.15625","395366.3125",612679,2
"2020-05-20 00:00:00","195109.1875","353426.9375",620107,2
"2020-05-21 00:00:00","197166.953125","353920.21875",627706,2
"2020-05-22 00:00:00","198551.96875","359884.84375",630603,2
"2020-05-23 00:00:00","155717.625","424367.28125",579189,2
"2020-05-24 00:00:00","139350.25","429378.15625",538098,2
"2020-05-25 00:00:00","182277.359375","426392.40625",624823,2
"2020-05-26 00:00:00","167800.640625","465675.96875",640116,2
"2020-05-27 00:00:00","187065.609375","443229.53125",643185,1
"2020-05-28 00:00:00","209566.765625","409343.625",639557,1
"2020-05-29 00:00:00","224210.765625","378739",638401,1
"2020-05-30 00:00:00","188172.84375","370176.90625",579806,1
"2020-05-31 00:00:00","196204.5625","324436",536343,1
"2020-06-01 00:00:00","249705.765625","324871.40625",629145,1
"2020-06-02 00:00:00","260534.734375","330913.59375",656727,1
"2020-06-03 00:00:00","268775.96875","368826.59375",664154,1
"2020-06-04 00:00:00","208016.078125","470808.40625",652985,1
"2020-06-05 00:00:00","221155.96875","424366.40625",642918,1
"2020-06-06 00:00:00","210499.75","386395.5",585374,1
"2020-06-07 00:00:00","173855.671875","456774.15625",538702,1
"2020-06-08 00:00:00","214559.765625","453674.59375",623672,1
"2020-06-09 00:00:00","226810.9375","446654.3125",644278,1
"2020-06-10 00:00:00","239420.328125","403755.4375",655647,1
"2020-06-11 00:00:00","196242.421875","476097.96875",652471,1
