"Date","Coal_value","Coal_percentage","Cogeneration_value","Cogeneration_percentage","Combined_Cycle_value","Combined_Cycle_percentage","Gas_value","Gas_percentage","Hydro_value","Hydro_percentage","Hydroeolian_value","Hydroeolian_percentage","Non_Renewable_Waste_value","Non_Renewable_Waste_percentage","Nuclear_value","Nuclear_percentage","Other_Renewables_value","Other_Renewables_percentage","Solar_photovoltaic_value","Solar_photovoltaic_percentage","Pumped_storage_value","Pumped_storage_percentage","Renewable_Waste_value","Renewable_Waste_percentage","Thermal_Solar_value","Thermal_Solar_percentage","Wind_value","Wind_percentage"
"2019-01-01 00:00:00",46490.3,0.0844516,65180.1,0.118402,102405,0.186023,15296.6,0.0277868,53722.1,0.0975884,16.41,0.0000298094,5881.89,0.0106847,145066,0.263518,8432.49,0.015318,19037.7,0.0345828,825.588,0.00149971,2661.15,0.00483408,7457.27,0.0135464,78024.6,0.141735
"2019-01-02 00:00:00",65173.4,0.0911329,81637.7,0.114155,101006,0.141238,16756.1,0.0234304,61294.8,0.0857094,13.481,0.0000188507,6193.42,0.00866036,144935,0.202665,8440.71,0.0118028,18819.4,0.0263155,5146.51,0.00719645,2627.51,0.00367408,7592.59,0.0106168,195509,0.273384
"2019-01-03 00:00:00",82277.3,0.113476,88044.4,0.12143,143640,0.198107,18236.4,0.0251514,82982,0.114448,5.994,0.00000826685,6904.31,0.00952234,147271,0.203115,9215.68,0.0127102,16814,0.0231896,9632.89,0.0132856,2605.26,0.00359315,6419.24,0.00885334,111015,0.153111
"2019-01-04 00:00:00",94253.9,0.123276,90680.2,0.118602,182524,0.238725,18797,0.0245847,94301.9,0.123338,4.697,0.00000614325,6955.14,0.0090967,150097,0.196314,9434.68,0.0123397,18271.4,0.0238974,10894.2,0.0142486,2633.56,0.00344446,6109.13,0.00799019,79621,0.104137
"2019-01-05 00:00:00",86777.7,0.127756,85813.5,0.126337,117718,0.173307,16965.4,0.0249769,58822.7,0.0866,14.331,0.0000210984,6698.16,0.00986118,150844,0.222075,9411.31,0.0138555,19538.4,0.0287648,256.618,0.000377798,2678.89,0.00394392,7205.66,0.0106083,116501,0.171516
"2019-01-06 00:00:00",68327.3,0.103224,83436.8,0.126051,71507.6,0.108029,15137.4,0.0228687,42064.7,0.0635487,22.78,0.0000344146,6513.35,0.00983996,169595,0.256213,9393.49,0.0141911,19983.5,0.0301897,1507.6,0.00227759,2446.72,0.00369634,7466.39,0.0112798,164526,0.248556
"2019-01-07 00:00:00",100358,0.129995,87503.5,0.113345,120242,0.155752,15229,0.0197263,66708.4,0.0864085,21.227,0.0000274957,6659.71,0.00862644,170648,0.221043,9410.74,0.0121899,19527.6,0.0252945,2747.25,0.00355856,2336.91,0.00302703,7795.09,0.0100971,162824,0.210909
"2019-01-08 00:00:00",125930,0.153267,90474.6,0.110115,131104,0.159564,16090.6,0.0195836,68044.8,0.0828159,9.254,0.0000112628,6331.67,0.00770614,170546,0.207568,9069.5,0.0110383,19052,0.0231877,8149.86,0.00991903,2261.73,0.0027527,8068.18,0.00981961,166507,0.202652
"2019-01-09 00:00:00",130162,0.153127,89900.1,0.105761,93395.2,0.109873,16553.7,0.0194742,48716.7,0.0573119,5.589,0.00000657508,6396.34,0.00752486,170649,0.200757,10130.5,0.0119179,18646.7,0.0219366,2988.95,0.00351629,2313.76,0.00272198,7853.85,0.00923952,252315,0.296831
"2019-01-10 00:00:00",109656,0.125358,91180.1,0.104237,110701,0.126553,16259.8,0.0185881,62288.2,0.0712074,23.468,0.0000268285,6798.96,0.00777252,170641,0.195075,10440.4,0.0119354,19967,0.0228261,6229.72,0.00712177,2536.21,0.00289937,8158.61,0.00932686,259863,0.297073
