Value,Date,Type_id,Description
155859.55599999998,2020-03-19 00:00:00+01:00,1,CO2 emission eq.
163800.97600000002,2020-03-20 00:00:00+01:00,1,CO2 emission eq.
169703.378,2020-03-21 00:00:00+01:00,1,CO2 emission eq.
169963.582,2020-03-22 00:00:00+01:00,1,CO2 emission eq.
168260.62600000002,2020-03-23 00:00:00+01:00,1,CO2 emission eq.
169190.49649999998,2020-03-24 00:00:00+01:00,1,CO2 emission eq.
174181.80800000002,2020-03-25 00:00:00+01:00,1,CO2 emission eq.
150760.39349999998,2020-03-26 00:00:00+01:00,1,CO2 emission eq.
164378.7655,2020-03-27 00:00:00+01:00,1,CO2 emission eq.
164943.98600000003,2020-03-28 00:00:00+01:00,1,CO2 emission eq.
151754.98750000002,2020-03-29 00:00:00+01:00,1,CO2 emission eq.
171419.14250000002,2020-03-30 00:00:00+02:00,1,CO2 emission eq.
171084.381,2020-03-31 00:00:00+02:00,1,CO2 emission eq.
181530.832,2020-04-01 00:00:00+02:00,1,CO2 emission eq.
179220.009,2020-04-02 00:00:00+02:00,1,CO2 emission eq.
184806.3785,2020-04-03 00:00:00+02:00,1,CO2 emission eq.
170209.491,2020-04-04 00:00:00+02:00,1,CO2 emission eq.
167229.4895,2020-04-05 00:00:00+02:00,1,CO2 emission eq.
187742.4995,2020-04-06 00:00:00+02:00,1,CO2 emission eq.
181891.3175,2020-04-07 00:00:00+02:00,1,CO2 emission eq.
178663.27850000001,2020-04-08 00:00:00+02:00,1,CO2 emission eq.
182624.379,2020-04-09 00:00:00+02:00,1,CO2 emission eq.
189803.448,2020-04-10 00:00:00+02:00,1,CO2 emission eq.
171364.25600000002,2020-04-11 00:00:00+02:00,1,CO2 emission eq.
169304.56800000003,2020-04-12 00:00:00+02:00,1,CO2 emission eq.
173051.89299999998,2020-04-13 00:00:00+02:00,1,CO2 emission eq.
158021.42049999998,2020-04-14 00:00:00+02:00,1,CO2 emission eq.
157362.506,2020-04-15 00:00:00+02:00,1,CO2 emission eq.
138492.2055,2020-04-16 00:00:00+02:00,1,CO2 emission eq.
136366.96,2020-04-17 00:00:00+02:00,1,CO2 emission eq.
154537.1175,2020-04-18 00:00:00+02:00,1,CO2 emission eq.
152507.37949999998,2020-04-19 00:00:00+02:00,1,CO2 emission eq.
138837.493,2020-04-20 00:00:00+02:00,1,CO2 emission eq.
139026.64349999998,2020-04-21 00:00:00+02:00,1,CO2 emission eq.
144628.14699999997,2020-04-22 00:00:00+02:00,1,CO2 emission eq.
148511.1315,2020-04-23 00:00:00+02:00,1,CO2 emission eq.
150911.1575,2020-04-24 00:00:00+02:00,1,CO2 emission eq.
161350.79200000002,2020-04-25 00:00:00+02:00,1,CO2 emission eq.
157092.065,2020-04-26 00:00:00+02:00,1,CO2 emission eq.
156476.29799999998,2020-04-27 00:00:00+02:00,1,CO2 emission eq.
145612.546,2020-04-28 00:00:00+02:00,1,CO2 emission eq.
127834.004,2020-04-29 00:00:00+02:00,1,CO2 emission eq.
117450.3415,2020-04-30 00:00:00+02:00,1,CO2 emission eq.
122628.351,2020-05-01 00:00:00+02:00,1,CO2 emission eq.
147112.7,2020-05-02 00:00:00+02:00,1,CO2 emission eq.
157967.2005,2020-05-03 00:00:00+02:00,1,CO2 emission eq.
147020.984,2020-05-04 00:00:00+02:00,1,CO2 emission eq.
146840.918,2020-05-05 00:00:00+02:00,1,CO2 emission eq.
158825.59350000002,2020-05-06 00:00:00+02:00,1,CO2 emission eq.
153589.6225,2020-05-07 00:00:00+02:00,1,CO2 emission eq.
151276.5715,2020-05-08 00:00:00+02:00,1,CO2 emission eq.
177394.284,2020-05-09 00:00:00+02:00,1,CO2 emission eq.
154796.8775,2020-05-10 00:00:00+02:00,1,CO2 emission eq.
147480.50149999998,2020-05-11 00:00:00+02:00,1,CO2 emission eq.
175885.9975,2020-05-12 00:00:00+02:00,1,CO2 emission eq.
175093.62050000002,2020-05-13 00:00:00+02:00,1,CO2 emission eq.
156542.8525,2020-05-14 00:00:00+02:00,1,CO2 emission eq.
146458.0065,2020-05-15 00:00:00+02:00,1,CO2 emission eq.
149683.21850000002,2020-05-16 00:00:00+02:00,1,CO2 emission eq.
153449.095,2020-05-17 00:00:00+02:00,1,CO2 emission eq.
173472.33599999998,2020-05-18 00:00:00+02:00,1,CO2 emission eq.
188064.15899999999,2020-05-19 00:00:00+02:00,1,CO2 emission eq.
195109.18499999997,2020-05-20 00:00:00+02:00,1,CO2 emission eq.
197166.95900000003,2020-05-21 00:00:00+02:00,1,CO2 emission eq.
198551.97049999997,2020-05-22 00:00:00+02:00,1,CO2 emission eq.
155717.62999999998,2020-05-23 00:00:00+02:00,1,CO2 emission eq.
