Value,Date
586295.92,2019-05-26 00:00:00+02:00
703430.22,2019-05-27 00:00:00+02:00
723789.61,2019-05-28 00:00:00+02:00
722528.76,2019-05-29 00:00:00+02:00
719643.51,2019-05-30 00:00:00+02:00
720746.45,2019-05-31 00:00:00+02:00
657042.69,2019-06-01 00:00:00+02:00
610076.36,2019-06-02 00:00:00+02:00
727171.18,2019-06-03 00:00:00+02:00
743770.43,2019-06-04 00:00:00+02:00
727971.19,2019-06-05 00:00:00+02:00
718943.76,2019-06-06 00:00:00+02:00
716112.06,2019-06-07 00:00:00+02:00
649039.51,2019-06-08 00:00:00+02:00
598235.31,2019-06-09 00:00:00+02:00
692917.59,2019-06-10 00:00:00+02:00
717556.42,2019-06-11 00:00:00+02:00
721635.75,2019-06-12 00:00:00+02:00
725089.25,2019-06-13 00:00:00+02:00
720655.01,2019-06-14 00:00:00+02:00
27132.27,2019-06-15 00:00:00+02:00
